company_id,category,feature_name,feature_value,contribution,direction,description
109,patent,patent_count_3y,72.0,5.3,positive,최근 3년 특허 출원이 동일 산업 내 상위 1% 수준입니다.
109,patent,patent_momentum,1.8125,4.8,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 17% 수준입니다.
109,financial,asset_growth_1y,-0.2285,-2.7,negative,최근 1년 자산 성장률이 동일 산업 내 하위 17% 수준에 그칩니다.
109,financial,operating_margin,-4.9654,-1.9,negative,영업이익률이 동일 산업 내 하위 16% 수준에 그칩니다.
109,industry,industry_employee_growth_1y,0.0085,-1.4,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
110,financial,operating_margin_change_1y,0.84,3.0,positive,영업이익률 개선폭이 동일 산업 내 상위 13% 수준입니다.
110,financial,asset_growth_1y,0.9479,2.3,positive,최근 1년 자산 성장률이 동일 산업 내 상위 22% 수준입니다.
110,financial,operating_margin,0.1272,2.1,positive,영업이익률이 동일 산업 내 상위 11% 수준입니다.
110,patent,patent_count_3y,0.0,-6.3,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
110,financial,revenue_cagr_best,-0.2902,-5.2,negative,중기(CAGR) 매출 성장률이 동일 산업 내 하위 2% 수준에 그칩니다.
110,patent,registered_ratio_mature,0.0,-4.9,negative,특허 등록 전환율이 동일 산업 내 하위 9% 수준에 그칩니다.
111,patent,patent_momentum,1.0,3.3,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 27% 수준입니다.
111,employment,employee_growth_6m,0.0714,2.1,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 30% 수준입니다.
111,employment,net_hiring_rate_6m,0.0714,2.0,positive,최근 6개월 순채용률이 동일 산업 내 상위 28% 수준입니다.
111,patent,registered_ratio_mature,0.0,-2.9,negative,특허 등록 전환율이 동일 산업 내 하위 9% 수준에 그칩니다.
111,news_event,growth_event_12m_count,0.0,-2.8,negative,최근 12개월 성장 이벤트가 동일 산업 내 하위 9% 수준에 그칩니다.
111,financial,operating_margin_change_1y,-0.2976,-2.6,negative,영업이익률 개선폭이 동일 산업 내 하위 18% 수준에 그칩니다.
112,financial,revenue_growth_1y,2.5237,5.3,positive,최근 1년 매출 성장률이 동일 산업 내 상위 11% 수준입니다.
112,financial,revenue_cagr_best,11.695,5.2,positive,중기(CAGR) 매출 성장률이 동일 산업 내 상위 2% 수준입니다.
112,patent,patent_count_3y,40.0,5.1,positive,최근 3년 특허 출원이 동일 산업 내 상위 3% 수준입니다.
112,financial,asset_growth_1y,-0.5219,-4.0,negative,최근 1년 자산 성장률이 동일 산업 내 하위 1% 수준에 그칩니다.
112,financial,operating_margin,-5.0597,-2.0,negative,영업이익률이 동일 산업 내 하위 14% 수준에 그칩니다.
112,industry,industry_employee_growth_1y,0.0085,-1.4,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
113,patent,patent_count_3y,12.0,4.1,positive,최근 3년 특허 출원이 동일 산업 내 상위 12% 수준입니다.
113,financial,revenue_cagr_best,1.6124,3.7,positive,중기(CAGR) 매출 성장률이 동일 산업 내 상위 16% 수준입니다.
113,employment,employee_growth_slope,0.0147,2.2,positive,고용 증가 추세가 동일 산업 내 상위 19% 수준입니다.
113,financial,liabilities_to_assets,3.6189,-3.8,negative,자산 대비 부채 비율이 동일 산업 내 높은 편입니다(위험 요인).
113,financial,operating_margin_change_1y,-0.1787,-2.2,negative,영업이익률 개선폭이 동일 산업 내 하위 23% 수준에 그칩니다.
113,financial,asset_growth_1y,-0.1414,-2.1,negative,최근 1년 자산 성장률이 동일 산업 내 하위 24% 수준에 그칩니다.
114,financial,revenue_growth_1y,1.25,5.0,positive,최근 1년 매출 성장률이 동일 산업 내 상위 20% 수준입니다.
114,patent,patent_count_3y,8.0,2.7,positive,최근 3년 특허 출원이 동일 산업 내 상위 25% 수준입니다.
114,news_event,investment_event_24m_count,26.0,2.3,positive,최근 24개월 투자 유치 이벤트가 동일 산업 내 상위 7% 수준입니다.
114,financial,operating_margin_change_1y,-2.2444,-4.5,negative,영업이익률 개선폭이 동일 산업 내 하위 6% 수준에 그칩니다.
114,patent,patent_momentum,0.0,-3.9,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
114,financial,operating_margin,-6.4444,-2.7,negative,영업이익률이 동일 산업 내 하위 9% 수준에 그칩니다.
115,financial,revenue_growth_1y,8.4952,7.4,positive,최근 1년 매출 성장률이 동일 산업 내 상위 4% 수준입니다.
115,patent,patent_count_3y,17.0,5.2,positive,최근 3년 특허 출원이 동일 산업 내 상위 9% 수준입니다.
115,patent,patent_momentum,1.2632,5.1,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 20% 수준입니다.
115,employment,employee_growth_6m,-0.375,-5.7,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 5% 수준에 그칩니다.
115,financial,liabilities_to_assets,6.4253,-4.7,negative,자산 대비 부채 비율이 동일 산업 내 높은 편입니다(위험 요인).
115,employment,net_hiring_rate_6m,-0.3333,-4.5,negative,최근 6개월 순채용률이 동일 산업 내 하위 7% 수준에 그칩니다.
116,employment,employee_growth_acceleration,0.1344,2.0,positive,고용 증가 가속도가 동일 산업 내 상위 14% 수준입니다.
116,employment,employee_volatility,0.039,1.3,positive,고용 변동성이 동일 산업 내 낮은 편입니다(안정 요인).
116,employment,employee_growth_6m,0.0435,1.2,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 39% 수준입니다.
116,patent,patent_count_3y,0.0,-9.5,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
116,financial,revenue_growth_1y,-0.3669,-6.3,negative,최근 1년 매출 성장률이 동일 산업 내 하위 4% 수준에 그칩니다.
116,financial,revenue_cagr_best,-0.0507,-3.4,negative,중기(CAGR) 매출 성장률이 동일 산업 내 하위 19% 수준에 그칩니다.
117,financial,revenue_cagr_best,2.2748,4.1,positive,중기(CAGR) 매출 성장률이 동일 산업 내 상위 12% 수준입니다.
117,patent,patent_momentum,1.2,3.9,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 23% 수준입니다.
117,financial,liabilities_to_assets,0.0375,3.8,positive,자산 대비 부채 비율이 동일 산업 내 낮은 편입니다(안정 요인).
117,financial,operating_margin_change_1y,-2.4782,-3.8,negative,영업이익률 개선폭이 동일 산업 내 하위 4% 수준에 그칩니다.
117,financial,asset_growth_1y,-0.4053,-3.4,negative,최근 1년 자산 성장률이 동일 산업 내 하위 8% 수준에 그칩니다.
117,financial,operating_margin,-5.667,-2.1,negative,영업이익률이 동일 산업 내 하위 11% 수준에 그칩니다.
118,financial,asset_growth_1y,0.3233,2.0,positive,최근 1년 자산 성장률이 동일 산업 내 상위 35% 수준입니다.
118,industry,industry_startup_rate_latest,0.1509,1.0,positive,소속 산업 창업률이 전체 산업 대비 상위 25% 수준입니다.
118,industry,industry_revenue_growth_1y,0.0678,0.7,positive,소속 산업 매출 성장률이 전체 산업 대비 상위 42% 수준입니다.
118,patent,patent_count_3y,0.0,-9.5,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
118,financial,revenue_cagr_best,-0.2765,-8.1,negative,중기(CAGR) 매출 성장률이 동일 산업 내 하위 5% 수준에 그칩니다.
118,financial,liabilities_to_assets,0.9166,-5.2,negative,자산 대비 부채 비율이 동일 산업 내 높은 편입니다(위험 요인).
119,patent,patent_momentum,3.0,10.1,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 11% 수준입니다.
119,patent,new_ipc_count_1y,1.0,1.7,positive,신규 기술분야(IPC) 진출이 동일 산업 내 상위 24% 수준입니다.
119,industry,industry_startup_rate_latest,0.1509,1.4,positive,소속 산업 창업률이 전체 산업 대비 상위 25% 수준입니다.
119,employment,employee_growth_6m,-1.0,-7.6,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 1% 수준에 그칩니다.
119,employment,net_hiring_rate_6m,-1.1905,-6.3,negative,최근 6개월 순채용률이 동일 산업 내 하위 1% 수준에 그칩니다.
119,employment,employee_growth_slope,-0.1504,-4.8,negative,고용 증가 추세가 동일 산업 내 하위 3% 수준에 그칩니다.
120,financial,operating_margin_change_1y,0.1812,2.6,positive,영업이익률 개선폭이 동일 산업 내 상위 23% 수준입니다.
120,financial,asset_growth_1y,0.3655,2.1,positive,최근 1년 자산 성장률이 동일 산업 내 상위 28% 수준입니다.
120,financial,operating_margin,0.0464,1.9,positive,영업이익률이 동일 산업 내 상위 20% 수준입니다.
120,employment,employee_growth_slope,-0.1785,-13.8,negative,고용 증가 추세가 동일 산업 내 하위 1% 수준에 그칩니다.
120,financial,revenue_growth_1y,-0.3428,-7.0,negative,최근 1년 매출 성장률이 동일 산업 내 하위 6% 수준에 그칩니다.
120,employment,employee_volatility,1.2329,-6.9,negative,고용 변동성이 동일 산업 내 높은 편입니다(위험 요인).
121,financial,asset_growth_1y,1.0561,2.5,positive,최근 1년 자산 성장률이 동일 산업 내 상위 19% 수준입니다.
121,financial,operating_margin_change_1y,0.1574,2.0,positive,영업이익률 개선폭이 동일 산업 내 상위 25% 수준입니다.
121,industry,industry_startup_rate_latest,0.1509,1.0,positive,소속 산업 창업률이 전체 산업 대비 상위 25% 수준입니다.
121,patent,patent_count_3y,0.0,-6.3,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
121,patent,registered_ratio_mature,0.0,-4.9,negative,특허 등록 전환율이 동일 산업 내 하위 9% 수준에 그칩니다.
121,financial,revenue_cagr_best,0.1026,-2.6,negative,중기(CAGR) 매출 성장률이 동일 산업 내 하위 26% 수준에 그칩니다.
122,employment,employee_growth_acceleration,0.1891,2.2,positive,고용 증가 가속도가 동일 산업 내 상위 9% 수준입니다.
122,patent,registered_ratio_mature,1.0,2.1,positive,특허 등록 전환율이 동일 산업 내 상위 21% 수준입니다.
122,patent,patent_count_3y,5.0,1.8,positive,최근 3년 특허 출원이 동일 산업 내 상위 33% 수준입니다.
122,financial,revenue_growth_1y,0.0306,-3.4,negative,최근 1년 매출 성장률이 동일 산업 내 하위 25% 수준에 그칩니다.
122,employment,employee_growth_6m,-0.1316,-3.3,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 20% 수준에 그칩니다.
122,employment,employee_growth_slope,-0.0546,-2.8,negative,고용 증가 추세가 동일 산업 내 하위 11% 수준에 그칩니다.
123,patent,registered_ratio_mature,1.0,2.1,positive,특허 등록 전환율이 동일 산업 내 상위 21% 수준입니다.
123,news_event,high_intensity_event_12m_count,6.0,1.5,positive,고강도 성장 이벤트가 동일 산업 내 상위 13% 수준입니다.
123,news_event,contract_event_12m_count,7.0,1.3,positive,수주·계약 이벤트가 동일 산업 내 상위 1% 수준입니다.
123,financial,revenue_growth_1y,-0.2861,-5.6,negative,최근 1년 매출 성장률이 동일 산업 내 하위 8% 수준에 그칩니다.
123,patent,patent_momentum,0.0,-3.9,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
123,patent,patent_count_3y,0.0,-3.8,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
124,financial,asset_growth_1y,3.6055,5.0,positive,최근 1년 자산 성장률이 동일 산업 내 상위 8% 수준입니다.
124,financial,liabilities_to_assets,0.0523,4.9,positive,자산 대비 부채 비율이 동일 산업 내 낮은 편입니다(안정 요인).
124,employment,employee_growth_6m,0.1333,4.1,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 18% 수준입니다.
124,patent,patent_count_3y,0.0,-11.1,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
124,financial,operating_margin_change_1y,-1.4375,-5.0,negative,영업이익률 개선폭이 동일 산업 내 하위 8% 수준에 그칩니다.
124,financial,revenue_growth_1y,0.0805,-3.1,negative,최근 1년 매출 성장률이 동일 산업 내 하위 35% 수준에 그칩니다.
125,financial,liabilities_to_assets,0.0632,11.9,positive,자산 대비 부채 비율이 동일 산업 내 낮은 편입니다(안정 요인).
125,news_event,growth_event_12m_count,40.0,2.5,positive,최근 12개월 성장 이벤트가 동일 산업 내 상위 13% 수준입니다.
125,news_event,investment_event_24m_count,5.0,2.1,positive,최근 24개월 투자 유치 이벤트가 동일 산업 내 상위 10% 수준입니다.
125,financial,operating_margin,-2.3202,-6.5,negative,영업이익률이 동일 산업 내 하위 20% 수준에 그칩니다.
125,patent,patent_momentum,0.0,-3.9,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
125,employment,employee_growth_6m,-0.1846,-3.9,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 14% 수준에 그칩니다.
126,patent,patent_momentum,6.0,8.5,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 3% 수준입니다.
126,financial,operating_margin,0.2706,5.6,positive,영업이익률이 동일 산업 내 상위 3% 수준입니다.
126,financial,liabilities_to_assets,0.2241,4.4,positive,자산 대비 부채 비율이 동일 산업 내 낮은 편입니다(안정 요인).
126,news_event,growth_event_12m_count,1.0,-1.6,negative,최근 12개월 성장 이벤트가 동일 산업 내 하위 26% 수준에 그칩니다.
126,industry,industry_employee_growth_1y,0.0085,-1.4,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
126,industry,industry_rd_growth_1y,0.0998,-1.4,negative,소속 산업 R&D 투자 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
127,financial,liabilities_to_assets,0.0407,4.5,positive,자산 대비 부채 비율이 동일 산업 내 낮은 편입니다(안정 요인).
127,employment,employee_growth_slope,0.0398,3.4,positive,고용 증가 추세가 동일 산업 내 상위 3% 수준입니다.
127,patent,new_ipc_count_1y,2.0,3.2,positive,신규 기술분야(IPC) 진출이 동일 산업 내 상위 15% 수준입니다.
127,patent,patent_count_3y,1.0,-3.2,negative,최근 3년 특허 출원이 동일 산업 내 하위 38% 수준에 그칩니다.
127,industry,industry_employee_growth_1y,0.0085,-1.4,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
127,industry,industry_rd_growth_1y,0.0998,-1.4,negative,소속 산업 R&D 투자 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
128,patent,patent_momentum,4.5,7.2,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 8% 수준입니다.
128,employment,employee_growth_6m,0.7188,6.2,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 1% 수준입니다.
128,employment,net_hiring_rate_6m,0.513,5.2,positive,최근 6개월 순채용률이 동일 산업 내 상위 1% 수준입니다.
128,employment,employee_volatility,0.231,-1.6,negative,고용 변동성이 동일 산업 내 높은 편입니다(위험 요인).
128,industry,industry_employee_growth_1y,0.0085,-1.6,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
128,industry,industry_rd_growth_1y,0.0998,-1.6,negative,소속 산업 R&D 투자 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
129,patent,registered_ratio_mature,1.0,2.1,positive,특허 등록 전환율이 동일 산업 내 상위 21% 수준입니다.
129,news_event,growth_event_12m_count,22.0,1.5,positive,최근 12개월 성장 이벤트가 동일 산업 내 상위 28% 수준입니다.
129,news_event,technology_rnd_event_12m_count,4.0,1.2,positive,기술·R&D 이벤트가 동일 산업 내 상위 7% 수준입니다.
129,financial,revenue_growth_1y,-0.2318,-6.6,negative,최근 1년 매출 성장률이 동일 산업 내 하위 11% 수준에 그칩니다.
129,patent,patent_momentum,0.0,-3.9,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
129,financial,liabilities_to_assets,0.9008,-3.7,negative,자산 대비 부채 비율이 동일 산업 내 높은 편입니다(위험 요인).
130,patent,patent_momentum,6.0,8.0,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 3% 수준입니다.
130,financial,revenue_growth_1y,0.8791,5.4,positive,최근 1년 매출 성장률이 동일 산업 내 상위 23% 수준입니다.
130,patent,patent_count_3y,9.0,4.1,positive,최근 3년 특허 출원이 동일 산업 내 상위 18% 수준입니다.
130,employment,employee_growth_6m,-0.4375,-6.0,negative,최근 6개월 고용 증가율이 동일 산업 내 하위 3% 수준에 그칩니다.
130,employment,net_hiring_rate_6m,-0.2812,-4.3,negative,최근 6개월 순채용률이 동일 산업 내 하위 9% 수준에 그칩니다.
130,employment,employee_growth_slope,-0.0745,-3.5,negative,고용 증가 추세가 동일 산업 내 하위 9% 수준에 그칩니다.
131,employment,employee_growth_6m,0.1667,7.2,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 14% 수준입니다.
131,employment,net_hiring_rate_6m,0.1519,6.3,positive,최근 6개월 순채용률이 동일 산업 내 상위 11% 수준입니다.
131,employment,employee_growth_slope,0.0236,5.3,positive,고용 증가 추세가 동일 산업 내 상위 9% 수준입니다.
131,patent,patent_count_3y,0.0,-17.2,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
131,industry,industry_employee_growth_1y,0.0085,-2.5,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
131,industry,industry_rd_growth_1y,0.0998,-2.5,negative,소속 산업 R&D 투자 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
132,patent,registered_ratio_mature,1.0,3.5,positive,특허 등록 전환율이 동일 산업 내 상위 21% 수준입니다.
132,employment,employee_growth_6m,0.0625,1.9,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 32% 수준입니다.
132,employment,employee_growth_slope,0.0127,1.9,positive,고용 증가 추세가 동일 산업 내 상위 23% 수준입니다.
132,patent,patent_count_3y,0.0,-6.3,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
132,financial,revenue_growth_1y,-0.1089,-5.8,negative,최근 1년 매출 성장률이 동일 산업 내 하위 15% 수준에 그칩니다.
132,news_event,growth_event_12m_count,0.0,-3.1,negative,최근 12개월 성장 이벤트가 동일 산업 내 하위 9% 수준에 그칩니다.
133,patent,registered_ratio_mature,1.0,4.1,positive,특허 등록 전환율이 동일 산업 내 상위 21% 수준입니다.
133,financial,liabilities_to_assets,0.2228,2.5,positive,자산 대비 부채 비율이 동일 산업 내 낮은 편입니다(안정 요인).
133,financial,operating_margin,0.0625,2.2,positive,영업이익률이 동일 산업 내 상위 16% 수준입니다.
133,patent,patent_count_3y,0.0,-7.4,negative,최근 3년 특허 출원이 동일 산업 내 하위 15% 수준에 그칩니다.
133,financial,revenue_cagr_best,0.0434,-3.5,negative,중기(CAGR) 매출 성장률이 동일 산업 내 하위 22% 수준에 그칩니다.
133,financial,revenue_growth_1y,0.054,-3.2,negative,최근 1년 매출 성장률이 동일 산업 내 하위 30% 수준에 그칩니다.
134,financial,revenue_growth_1y,0.7191,3.1,positive,최근 1년 매출 성장률이 동일 산업 내 상위 27% 수준입니다.
134,patent,patent_count_3y,8.0,2.7,positive,최근 3년 특허 출원이 동일 산업 내 상위 25% 수준입니다.
134,patent,patent_momentum,0.6316,1.7,positive,최근 특허 활동 모멘텀이 동일 산업 내 상위 38% 수준입니다.
134,news_event,growth_event_12m_count,1.0,-1.6,negative,최근 12개월 성장 이벤트가 동일 산업 내 하위 26% 수준에 그칩니다.
134,industry,industry_employee_growth_1y,0.0085,-1.4,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
134,industry,industry_rd_growth_1y,0.0998,-1.4,negative,소속 산업 R&D 투자 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
135,patent,patent_count_3y,9.0,4.1,positive,최근 3년 특허 출원이 동일 산업 내 상위 18% 수준입니다.
135,financial,operating_margin,0.1644,2.7,positive,영업이익률이 동일 산업 내 상위 7% 수준입니다.
135,patent,registered_ratio_mature,1.0,2.4,positive,특허 등록 전환율이 동일 산업 내 상위 21% 수준입니다.
135,patent,patent_momentum,0.0,-4.6,negative,최근 특허 활동 모멘텀이 동일 산업 내 하위 23% 수준에 그칩니다.
135,employment,net_hiring_rate_6m,-0.0545,-1.9,negative,최근 6개월 순채용률이 동일 산업 내 하위 32% 수준에 그칩니다.
135,industry,industry_employee_growth_1y,0.0085,-1.6,negative,소속 산업 고용 성장률이 전체 산업 대비 하위 25% 수준에 그칩니다.
136,employment,net_hiring_rate_6m,0.1636,3.7,positive,최근 6개월 순채용률이 동일 산업 내 상위 9% 수준입니다.
136,employment,employee_growth_6m,0.1176,3.0,positive,최근 6개월 고용 증가율이 동일 산업 내 상위 22% 수준입니다.
136,financial,revenue_growth_1y,0.6437,2.7,positive,최근 1년 매출 성장률이 동일 산업 내 상위 30% 수준입니다.
